Event	ID	Name			Wwise Object Path	Notes
	89643104	evt_darkness_gun2_stop			\Default Work Unit\environment\darkness\guns\evt_darkness_gun2_stop	
	96967548	phy_water_sewer_1stBoxMoveStop			\Default Work Unit\physics\water\sewer\box1\phy_water_sewer_1stBoxMoveStop	
	101153271	phy_old_rotatingIntro_handle2JointRotateStop			\Default Work Unit\physics\old\rotatingIntro\handle2\phy_old_rotatingIntro_handle2JointRotateStop	
	102206337	phy_underground_water_boy3slideStop			\Default Work Unit\physics\underground\water\phy_underground_water_boy3slideStop	
	102394575	env_darkness_stones_3rdStoneRelease			\Default Work Unit\environment\darkness\stones\env_darkness_stones_3rdStoneRelease	
	104555606	env_fort_rolling_3rdStoneRelease			\Default Work Unit\environment\fort\rolling\env_fort_rolling_3rdStoneRelease	
	106189727	phy_start_falling_boatSlideInWaterStop			\Default Work Unit\physics\start\falling\boat\phy_start_falling_boatSlideInWaterStop	
	106367736	boy_slidebackward			\Default Work Unit\boy\foley_animation\slide\boy_slidebackward	
	108895628	phy_modern_elevator_box1JointRotatingStop			\Default Work Unit\physics\modern\elevator\box1\phy_modern_elevator_box1JointRotatingStop	
	110331663	amb_evt_water_sewer_waterDripping			\Default Work Unit\ambience\event ambience\water\sewer\amb_evt_water_sewer_waterDripping	
	110456429	env_darkness_sparks_saw2IdleStop			\Default Work Unit\environment\darkness\sparks\saws\env_darkness_sparks_saw2IdleStop	
	118511418	amb_evt_water_sewer_waterDripping_stop			\Default Work Unit\ambience\event ambience\water\sewer\amb_evt_water_sewer_waterDripping_stop	
	118779597	amb_sws_water_sewer_silenceBefore			\Default Work Unit\ambience\state ambiene\water\sewer\amb_sws_water_sewer_silenceBefore	
	119438304	amb_sws_underground_water_bodies			\Default Work Unit\ambience\state ambiene\underground\water\amb_sws_underground_water_bodies	
	121658015	phy_start_falling_rope1Joint1RotateStop			\Default Work Unit\physics\start\falling\rope1\phy_start_falling_rope1Joint1RotateStop	
	122914062	phy_city_wagon_box2SlideStart			\Default Work Unit\physics\city\wagon\box2\phy_city_wagon_box2SlideStart	
	123465701	boy_runstart_highclimbup_step2			\Default Work Unit\boy\foley_animation\run\runstart\boy_runstart_highclimbup_step2	if the boy lands hard or stars runninf right aften a climp
	123465702	boy_runstart_highclimbup_step1			\Default Work Unit\boy\foley_animation\run\runstart\boy_runstart_highclimbup_step1	if the boy lands hard or stars runninf right aften a climp
	125284887	obj_spider_prepare_normal_strike			\Default Work Unit\spider\sitting\obj_spider_prepare_normal_strike	
	130100503	obj_spider_spider_chase_leg8HitGroundUnderWater			\Default Work Unit\spider\chase\walk\obj_spider_spider_chase_leg8HitGroundUnderWater	
	131445741	obj_spider_spider_body_anticipationStrikeStart			\Default Work Unit\spider\body\fight\obj_spider_spider_body_anticipationStrikeStart	when it pulls back leg to attack
	132334428	env_city_crane_crane2MovingStart			\Default Work Unit\environment\city\crane\crane2\crane2idle\env_city_crane_crane2MovingStart	trigger, som også modtager RTPC fra phy_city_crane_crane2MoveStart, men også med scaled Dist
	135282080	evt_modern_jump_magnetButtonPressed			\Default Work Unit\environment\modern\jump\evt_modern_jump_magnetButtonPressed	
	135490472	env_fort_crossing_tallBoyRun			\Default Work Unit\boys\fort\crossing\tallBoy\env_fort_crossing_tallBoyRun	
	135574214	env_modern_box_changeDownLand			\Default Work Unit\environment\modern\box\env_modern_box_changeDownLand	
	137751436	amb_evt_water_zombieSewer_steam_stop			\Default Work Unit\ambience\event ambience\water\zombieSewer\amb_evt_water_zombieSewer_steam_stop	
	141295012	phy_city_ladderWagon_wagonWheelLeftImpact			\Default Work Unit\physics\city\roof\ladderWagon\impacts\phy_city_ladderWagon_wagonWheelLeftImpact	
	142814179	obj_spider_spider_body_idle_stop			\Default Work Unit\spider\body\idle\obj_spider_spider_body_idle_stop	
	148069115	phy_city_hotel_arrowImpact			\Default Work Unit\physics\city\hotel\arrow\phy_city_hotel_arrowImpact	
	148823107	boy_death_drowning_give_up			\Default Work Unit\boy\death\drowning\boy_death_drowning_give_up	
	154318640	phy_underground_sleeping_Box1JointRotating_stop			\Default Work Unit\physics\underground\sleeping\box1\phy_underground_sleeping_Box1JointRotating_stop	
	154782932	env_darkness_sawJump_lamp1Stop			\Default Work Unit\environment\darkness\sawJump1\lamps\env_darkness_sawJump_lamp1Stop	
	155298608	phy_water_sewer_1stBoxRotateInWaterStop			\Default Work Unit\physics\water\sewer\box1\phy_water_sewer_1stBoxRotateInWaterStop	
	156609355	env_city_insect_secretBoardBreak			\Default Work Unit\environment\city\insect\env_city_insect_secretBoardBreak	
	156707199	amb_evt_old_wagonAction_voltage			\Default Work Unit\ambience\event ambience\old\wagonAction\amb_evt_old_wagonAction_voltage	
	157081641	phy_city_beams_beam1JointRotateStart			\Default Work Unit\physics\city\beams\phy_city_beams_beam1JointRotateStart	
	157679246	amb_start_falling_landing			\Default Work Unit\ambience\event ambience\start\falling\amb_start_falling_landing	
	162831794	env_city_insect_flyUpStart			\Default Work Unit\environment\city\insect\env_city_insect_flyUpStart	
	163041374	amb_evt_city_start_gutter			\Default Work Unit\ambience\event ambience\city\start\amb_evt_city_start_gutter	
	165723816	amb_start_falling_cliff2_stop			\Default Work Unit\ambience\event ambience\start\falling\amb_start_falling_cliff2_stop	
	171028516	phy_city_crane_seesawRotateStop			\Default Work Unit\physics\city\crane\seesaw\phy_city_crane_seesawRotateStop	
	172144219	phy_modern_theEnd_boxImpactInWater			\Default Work Unit\physics\modern\theEnd\phy_modern_theEnd_boxImpactInWater	
	174241502	env_water_heights_bigBoxStartMoveDown			\Default Work Unit\environment\water\heights\rightBigBox\down\env_water_heights_bigBoxStartMoveDown	
	183625524	evt_darkness_hangToLive_sawReachLeft			\Default Work Unit\environment\darkness\hangToLive\evt_darkness_hangToLive_sawReachLeft	
	184342888	obj_spider_prepare_first_strike			\Default Work Unit\spider\sitting\obj_spider_prepare_first_strike	
	184620288	amb_sws_fort_body_fightSpider			\Default Work Unit\ambience\state ambiene\fort\body\amb_sws_fort_body_fightSpider	
	184905829	obj_spider_spider_body_finalLegOff			\Default Work Unit\spider\body\fight\obj_spider_spider_body_finalLegOff	
	187912350	obj_spider_spider_chase_strikeImpact			\Default Work Unit\spider\chase\strikes\obj_spider_spider_chase_strikeImpact	
	188013308	env_darkness_sawJump_saw2IdleStart			\Default Work Unit\environment\darkness\sawJump1\saws\env_darkness_sawJump_saw2IdleStart	
	193072432	env_old_ladderWagon_platformGoUp			\Default Work Unit\environment\old\ladderWagon\env_old_ladderWagon_platformGoUp	
	194287070	env_wormeater_snapOpen			\Default Work Unit\environment\mechanisms\wormeater\env_wormeater_snapOpen	
	197027378	phy_modern_theEnd_boxImpactSlideStop			\Default Work Unit\physics\modern\theEnd\phy_modern_theEnd_boxImpactSlideStop	
	198256771	env_underground_water_luringBoySteps			\Default Work Unit\boys\underground\water\luringBoy\env_underground_water_luringBoySteps	
	204249990	env_fort_crossing_tallBoyLand			\Default Work Unit\boys\fort\crossing\tallBoy\env_fort_crossing_tallBoyLand	
	207877129	env_old_ladderWagon_sparkEvent			\Default Work Unit\environment\old\ladderWagon\env_old_ladderWagon_sparkEvent	
	208574614	amb_evt_darkness_rolling_firePlace_stop			\Default Work Unit\ambience\event ambience\darkness\amb_evt_darkness_rolling_firePlace_stop	
	209307480	amb_sws_old_rotatingIntro_prelude			\Default Work Unit\ambience\state ambiene\old\rotatingIntro\amb_sws_old_rotatingIntro_prelude	
	210895874	boy_jumpforwardland_hit			\Default Work Unit\boy\foley_animation\jump\jumpforwardland\boy_jumpforwardland_hit	3. frame if the boy jumo forward or moves forward and then connect with the ground
	212151397	phy_start_treeclimb_rope2Joint2RotateStop			\Default Work Unit\physics\start\treeclimb\rope2\phy_start_treeclimb_rope2Joint2RotateStop	
	217411394	amb_sws_underground_spikes_preTrap			\Default Work Unit\ambience\state ambiene\underground\spikes\amb_sws_underground_spikes_preTrap	
	232719093	amb_sws_water_heights_exit			\Default Work Unit\ambience\state ambiene\water\heights\amb_sws_water_heights_exit	
	237808321	env_underground_pursuing_trap2_impact			\Default Work Unit\environment\underground\pursuing\env_underground_pursuing_trap2_impact	
	238252533	amb_sws_modern_gravityZone_exit			\Default Work Unit\ambience\state ambiene\modern\amb_sws_modern_gravityZone_exit	
	239764078	evt_modern_jump_blockDownSmallImpact			\Default Work Unit\environment\modern\jump\evt_modern_jump_blockDownSmallImpact	
	244768565	env_spider_cocoon_squased			\Default Work Unit\spider\cocoon\boyDeath\env_spider_cocoon_squased	
	247268766	phy_city_darkness_HatchMoveStop			\Default Work Unit\physics\darkness\cityDarkness\phy_city_darkness_HatchMoveStop	
	248399213	env_water_rain_machine_creepStep			\Default Work Unit\environment\water\rain\animationsCreep\creep2\env_water_rain_machine_creepStep	
	248413830	phy_city_crane_leverRotateStart			\Default Work Unit\physics\city\crane\crane2\phy_city_crane_leverRotateStart	
	250992045	phy_water_sewer_hollowCrateRotateInWaterStart			\Default Work Unit\physics\water\sewer\hollowCrate\phy_water_sewer_hollowCrateRotateInWaterStart	
	260609122	boy_death_sawblade_leave			\Default Work Unit\boy\death\boy_death_sawblade_leave	
	272273462	phy_modern_elevator_box1Impact			\Default Work Unit\physics\modern\elevator\box1\phy_modern_elevator_box1Impact	
	278541710	amb_sws_spider_cocoon_open			\Default Work Unit\ambience\state ambiene\spider\cocoon\amb_sws_spider_cocoon_open	
	278617630	Play_ambience			\Default Work Unit\ambience\temps\Play_ambience	
	279472979	phy_start_beartrap_branchJointRotateStart			\Default Work Unit\physics\start\beartrap\phy_start_beartrap_branchJointRotateStart	
	280470185	phy_modern_elevator_Box2Impact			\Default Work Unit\physics\modern\elevator\box2\phy_modern_elevator_Box2Impact	
	287168294	obj_spider_spider_chase_leg8HitWood			\Default Work Unit\spider\chase\walk\obj_spider_spider_chase_leg8HitWood	
	288789006	amb_evt_city_wagon_dripping			\Default Work Unit\ambience\event ambience\city\wagon\amb_evt_city_wagon_dripping	
	289312738	boy_jumpstate_stop			\Default Work Unit\boy\jumpState\boy_jumpstate_stop	
	289685016	obj_spider_spiderCave_movingBeforeWeaving			\Default Work Unit\spider\spiderCave\obj_spider_spiderCave_movingBeforeWeaving	
	293231984	env_underground_water_boy2Steps			\Default Work Unit\boys\underground\water\boyInWater\env_underground_water_boy2Steps	
	293246795	env_darkness_jumpOverSaw_saw3IdleStop			\Default Work Unit\environment\darkness\jumpOverSaw2\env_darkness_jumpOverSaw_saw3IdleStop	
	293627587	phy_city_crane_craneSlideStop			\Default Work Unit\physics\city\crane\crane1\phy_city_crane_craneSlideStop	
	293790564	boy_rope_down_grab_left_hand			\Default Work Unit\boy\foley_animation\rope\rope_down\boy_rope_down_grab_left_hand	
	295679200	env_modern_elevator_elevatorButton1Pushed			\Default Work Unit\environment\modern\elevator\elevator\env_modern_elevator_elevatorButton1Pushed	
	295705234	env_old_tire_doorChangeDirToDown			\Default Work Unit\environment\old\tire\door\env_old_tire_doorChangeDirToDown	
	296487120	obj_spider_hitboy			\Default Work Unit\spider\sitting\obj_spider_hitboy	
	298147725	evt_water_zombieSewer_snailDetached			\Default Work Unit\objects\zombiesnail\zombieSewer\evt_water_zombieSewer_snailDetached	
	300841987	phy_water_sewer_1stHatchMoveInWaterStart			\Default Work Unit\physics\water\sewer\hatch1\phy_water_sewer_1stHatchMoveInWaterStart	
	301550863	amb_sws_modern_theEnd_boySeesGirl			\Default Work Unit\ambience\state ambiene\modern\amb_sws_modern_theEnd_boySeesGirl	
	304583236	boy_jumpobstructed_hands			\Default Work Unit\boy\foley_animation\jump\jumpobstructed\boy_jumpobstructed_hands	frame 0, when boy jumps into something
	306824034	obj_spider_spider_cocoon_4thSpiderAttack			\Default Work Unit\spider\cocoon\fight\obj_spider_spider_cocoon_4thSpiderAttack	
	307490884	obj_spider_spiderCave_idle			\Default Work Unit\spider\spiderCave\obj_spider_spiderCave_idle	
	308204767	phy_water_rain_machine_pipeRotateStart			\Default Work Unit\physics\water\rain\pipe\phy_water_rain_machine_pipeRotateStart	
	309697617	phy_old_rotatingIntro_startRotCogMoveStop			\Default Work Unit\physics\old\rotatingIntro\rotCog\phy_old_rotatingIntro_startRotCogMoveStop	
	314765713	phy_old_rotatingDark_handleJointRotateStop			\Default Work Unit\physics\old\rotatingDark\handle\phy_old_rotatingDark_handleJointRotateStop	
	319421082	boy_ropestate_start			\Default Work Unit\boy\ropeState\boy_ropestate_start	
	320137825	phy_city_roof_fireHoseEndMoveStop			\Default Work Unit\physics\city\roof\fireHoseWheel\phy_city_roof_fireHoseEndMoveStop	
	325277252	amb_evt_city_start_gutterOnlySplash_stop			\Default Work Unit\ambience\event ambience\city\start\amb_evt_city_start_gutterOnlySplash_stop	
	328046024	obj_spider_spider_chase_leg24HitWood			\Default Work Unit\spider\chase\walk\obj_spider_spider_chase_leg24HitWood	
	328604477	env_underground_ropes_door1_hitGround			\Default Work Unit\environment\underground\ropes\env_underground_ropes_door1_hitGround	
	334692737	phy_city_start_ladderMoveStart			\Default Work Unit\physics\city\start\ladder\phy_city_start_ladderMoveStart	
	341991809	env_fort_crossing_fatBoyBigJump			\Default Work Unit\boys\fort\crossing\fatBoy\env_fort_crossing_fatBoyBigJump	
	344913395	boy_dramatic_land_hit_ground			\Default Work Unit\boy\foley_animation\jump\boy_dramatic_land\boy_dramatic_land_hit_ground	hits ground
	345079479	phy_spider_chase_log2RotateInWaterStart			\Default Work Unit\physics\spider\chase\log2\phy_spider_chase_log2RotateInWaterStart	
	345579107	env_fort_crossing_secondTrapRobeBreaks			\Default Work Unit\environment\fort\crossing\env_fort_crossing_secondTrapRobeBreaks	
	349921754	boy_rope_up_grab_right_hand			\Default Work Unit\boy\foley_animation\rope\rope_up\boy_rope_up_grab_right_hand	
	350842724	env_old_rotatingIntro_box3Shattered			\Default Work Unit\environment\old\rotatingIntro\env_old_rotatingIntro_box3Shattered	
	353771994	env_city_insect_insectIdleOnGroundStop			\Default Work Unit\environment\city\insect\env_city_insect_insectIdleOnGroundStop	
	354586859	boy_rundown			\Default Work Unit\boy\inactive\boy_rundown	
	359194876	amb_sws_fort_jump_trap2			\Default Work Unit\ambience\state ambiene\fort\jump\amb_sws_fort_jump_trap2	
	359194877	amb_sws_fort_jump_trap3			\Default Work Unit\ambience\state ambiene\fort\jump\amb_sws_fort_jump_trap3	
	359194879	amb_sws_fort_jump_trap1			\Default Work Unit\ambience\state ambiene\fort\jump\amb_sws_fort_jump_trap1	
	360780682	boy_jumpstate_start			\Default Work Unit\boy\jumpState\boy_jumpstate_start	
	361702313	env_coocoon_landSoft			\Default Work Unit\boy\coocoon\env_coocoon_landSoft	
	364162819	phy_modern_magnetGravity_boxToHearAtCrusherImpact			\Default Work Unit\physics\modern\magnetGravity\phy_modern_magnetGravity_boxToHearAtCrusherImpact	
	366989882	amb_sws_water_zombieIntro_doorDownLastTime			\Default Work Unit\ambience\state ambiene\water\zombieIntro\amb_sws_water_zombieIntro_doorDownLastTime	
	369121392	phy_water_rain_machine_wheelRotateStop			\Default Work Unit\physics\water\rain\wheel\phy_water_rain_machine_wheelRotateStop	
	369977733	boy_flip			\Default Work Unit\boy\foley_animation\stand\boy_flip	
	370223430	amb_sws_modern_box_enterScene			\Default Work Unit\ambience\state ambiene\modern\amb_sws_modern_box_enterScene	
	374073433	amb_sws_water_sewer_enterScene			\Default Work Unit\ambience\state ambiene\water\sewer\amb_sws_water_sewer_enterScene	
	378051229	env_spider_cocoon_rolledOver			\Default Work Unit\spider\cocoon\boyDeath\env_spider_cocoon_rolledOver	
	379040224	env_darkness_sparks_lamp2Start			\Default Work Unit\environment\darkness\sparks\lamps\env_darkness_sparks_lamp2Start	
	379856881	phy_darkness_zombie_boxImpact			\Default Work Unit\physics\darkness\zombie\phy_darkness_zombie_boxImpact	
	384991202	phy_fort_jump_1stTrap_impact			\Default Work Unit\physics\fort\jump\phy_fort_jump_1stTrap_impact	
	389034056	env_darkness_sawInDark_saw1IdleStart			\Default Work Unit\environment\darkness\sawInDark\env_darkness_sawInDark_saw1IdleStart	
	390616949	amb_sws_old_rotatingDark_roomFinishedRotate			\Default Work Unit\ambience\state ambiene\old\rotatingDark\amb_sws_old_rotatingDark_roomFinishedRotate	
	392928987	evt_modern_jump_changeGravityDownNotWhenDead			\Default Work Unit\environment\modern\jump\evt_modern_jump_changeGravityDownNotWhenDead	
	398024618	env_effects_sparks			\Default Work Unit\environment\effects\env_effects_sparks	
	401365584	env_darkness_sawJump_saw2IdleStop			\Default Work Unit\environment\darkness\sawJump1\saws\env_darkness_sawJump_saw2IdleStop	
	401864692	boy_runstop_land_step2			\Default Work Unit\boy\foley_animation\run\runstop\runstop_land\boy_runstop_land_step2	
	401864695	boy_runstop_land_step1			\Default Work Unit\boy\foley_animation\run\runstop\runstop_land\boy_runstop_land_step1	
	405439790	evt_old_conveyor_snailDetached			\Default Work Unit\objects\zombiesnail\old\evt_old_conveyor_snailDetached	
	407927137	phy_water_zombie_intro_boxSlideStop			\Default Work Unit\physics\water\zombieIntro\phy_water_zombie_intro_boxSlideStop	
	408897568	amb_sws_darkness_sparks			\Default Work Unit\ambience\state ambiene\darkness\amb_sws_darkness_sparks	
	415354777	boy_runstart_mediumclimbup_step1			\Default Work Unit\boy\foley_animation\run\runstart\boy_runstart_mediumclimbup_step1	when the boy lands easy/or flips direction and start running
	415354778	boy_runstart_mediumclimbup_step2			\Default Work Unit\boy\foley_animation\run\runstart\boy_runstart_mediumclimbup_step2	when the boy lands easy/or flips direction and start running
	417091985	env_old_tire_doorChangeDirToUp			\Default Work Unit\environment\old\tire\door\env_old_tire_doorChangeDirToUp	
	419366851	amb_sws_modern_box_changeUp			\Default Work Unit\ambience\state ambiene\modern\amb_sws_modern_box_changeUp	
	419465426	env_darkness_gunsandladders_lamp1Start			\Default Work Unit\environment\darkness\gunsandladders\env_darkness_gunsandladders_lamp1Start	
	420075424	phy_underground_sleeping_Box2JointRotating			\Default Work Unit\physics\underground\sleeping\box2\phy_underground_sleeping_Box2JointRotating	
	420880621	amb_evt_water_rain_rainOnGutter			\Default Work Unit\ambience\event ambience\water\rain\amb_evt_water_rain_rainOnGutter	
	423175399	phy_modern_elevator_box1SlideStop			\Default Work Unit\physics\modern\elevator\box1\phy_modern_elevator_box1SlideStop	
	426068756	env_old_rotatingIntro_magnet1offFinal			\Default Work Unit\environment\old\rotatingIntro\magnet1\env_old_rotatingIntro_magnet1offFinal	
	428354036	env_old_rotatingIntro_saw2_stop			\Default Work Unit\environment\old\rotatingIntro\saws\env_old_rotatingIntro_saw2_stop	
	448032032	amb_evt_water_rain_rainOnGutter_stop			\Default Work Unit\ambience\event ambience\water\rain\amb_evt_water_rain_rainOnGutter_stop	
	451212010	phy_spider_chase_logInWaterImpact			\Default Work Unit\physics\spider\chase\log\phy_spider_chase_logInWaterImpact	
	451376697	amb_sws_spider_sitting_thirdlegoff			\Default Work Unit\ambience\state ambiene\spider\sitting\amb_sws_spider_sitting_thirdlegoff	resets volume while scaled dist is disabled
	454111120	env_old_rotatingIntro_door1HitRoof			\Default Work Unit\environment\old\rotatingIntro\door1\env_old_rotatingIntro_door1HitRoof	
	460731836	boy_runstart_lowclimbup_step1			\Default Work Unit\boy\foley_animation\run\runstart\boy_runstart_lowclimbup_step1	
	460731839	boy_runstart_lowclimbup_step2			\Default Work Unit\boy\foley_animation\run\runstart\boy_runstart_lowclimbup_step2	
	464045870	amb_sws_water_zombieSewer_waterFlooding			\Default Work Unit\ambience\state ambiene\water\zombieSewer\amb_sws_water_zombieSewer_waterFlooding	
	465941814	amb_sws_darkness_needsAchivements			\Default Work Unit\ambience\state ambiene\darkness\amb_sws_darkness_needsAchivements	
	467513831	phy_start_falling_boatSlideOnGroundStart			\Default Work Unit\physics\start\falling\boat\phy_start_falling_boatSlideOnGroundStart	
	471930260	env_old_rotatingDark_lampStart			\Default Work Unit\environment\old\rotatingDark\env_old_rotatingDark_lampStart	
	473772982	amb_evt_water_zombieIntro_flies			\Default Work Unit\ambience\event ambience\water\zombieIntro\amb_evt_water_zombieIntro_flies	
	474242848	phy_old_rotatingDark_ballStopRoll			\Default Work Unit\physics\old\rotatingDark\ball\phy_old_rotatingDark_ballStopRoll	
	474907223	amb_evt_water_zombieSewer_dripping2_stop			\Default Work Unit\ambience\event ambience\water\zombieSewer\dripping\amb_evt_water_zombieSewer_dripping2_stop	
	476844662	amb_evt_water_zombieSewer_dripping1_stop			\Default Work Unit\ambience\event ambience\water\zombieSewer\dripping\amb_evt_water_zombieSewer_dripping1_stop	
	478208503	amb_evt_underground_water_water			\Default Work Unit\ambience\event ambience\underground\water\amb_evt_underground_water_water	
	479151591	env_spider_cocoon_fallingTree_impact			\Default Work Unit\environment\spider\coccon\env_spider_cocoon_fallingTree_impact	
	482297445	env_underground_water_luringBoyThrowStone			\Default Work Unit\boys\underground\water\luringBoy\env_underground_water_luringBoyThrowStone	
	483464171	phy_city_crane_craneRotateStart			\Default Work Unit\physics\city\crane\crane1\phy_city_crane_craneRotateStart	
	488289135	amb_evt_underground_sleeping_tree_stop			\Default Work Unit\ambience\event ambience\underground\sleeping\amb_evt_underground_sleeping_tree_stop	
	488435005	amb_evt_water_rain_rainOnGutterBranch			\Default Work Unit\ambience\event ambience\water\rain\amb_evt_water_rain_rainOnGutterBranch	
	489187558	env_city_hotel_hFlickerStop			\Default Work Unit\environment\city\hotel\env_city_hotel_hFlickerStop	
	490909386	phy_city_crane_crane2RopeJoint1RotateStart			\Default Work Unit\physics\city\crane\chain2\phy_city_crane_crane2RopeJoint1RotateStart	
	495030951	amb_sws_old_comveyer_zombieSnailOn			\Default Work Unit\ambience\state ambiene\old\cogwheelANDladderWagon\amb_sws_old_comveyer_zombieSnailOn	
	496432117	boy_rope_up_grab_left_hand			\Default Work Unit\boy\foley_animation\rope\rope_up\boy_rope_up_grab_left_hand	
	500201161	evt_modern_jump_magnetOn			\Default Work Unit\environment\modern\jump\evt_modern_jump_magnetOn	
	501327446	obj_spider_spider_chase_spiderjumpsfromcliff			\Default Work Unit\spider\chase\obj_spider_spider_chase_spiderjumpsfromcliff	
	501805093	phy_city_wagon_grabMoveStop			\Default Work Unit\physics\city\wagon\grab\phy_city_wagon_grabMoveStop	
	502853673	amb_sws_modern_jump_gravityButton2Pressed			\Default Work Unit\ambience\state ambiene\modern\jump\amb_sws_modern_jump_gravityButton2Pressed	
	502913206	env_old_rotatingDark_sparkEventCustom			\Default Work Unit\environment\old\rotatingDark\sparks\env_old_rotatingDark_sparkEventCustom	
	507249588	env_city_crane_crane2ReachUp			\Default Work Unit\environment\city\crane\crane2\old\env_city_crane_crane2ReachUp	
	513686286	phy_start_falling_torch1MoveStop			\Default Work Unit\physics\start\falling\torch\phy_start_falling_torch1MoveStop	
	513771853	env_wormeater_idleBarfClose			\Default Work Unit\environment\mechanisms\wormeater\env_wormeater_idleBarfClose	
	514393385	phy_underground_sleeping_seesawRotatingStart			\Default Work Unit\physics\underground\sleeping\seesaw\phy_underground_sleeping_seesawRotatingStart	
	522369764	phy_old_wagonAction1_wagonRightWheelImpact			\Default Work Unit\physics\old\wagonAction1\phy_old_wagonAction1_wagonRightWheelImpact	
	522726761	env_modern_box_changeDownSurvive			\Default Work Unit\environment\modern\box\env_modern_box_changeDownSurvive	
	522739262	phy_darkness_zombie_boxSlideStop			\Default Work Unit\physics\darkness\zombie\phy_darkness_zombie_boxSlideStop	
	522912436	phy_start_treeclimb_boxRotateInWaterStart			\Default Work Unit\physics\start\treeclimb\box\phy_start_treeclimb_boxRotateInWaterStart	
